,Mkt-RF,SMB,HML,RMW,CMA,RF
20160922,0.7,0.81,-0.06,0.12,0.13,0.001
20160923,-0.6,-0.08,-0.2,0.41,-0.46,0.001
20160926,-0.88,-0.3,-0.35,-0.21,0.2,0.001
20160927,0.64,-0.13,-0.52,-0.03,-0.41,0.001
20160928,0.56,0.23,1.1,-1.01,1.14,0.001
20160929,-0.98,-0.39,0.55,0.24,0.67,0.001
20160930,0.88,0.42,0.35,-0.12,0.1,0.001
20161003,-0.26,0,-0.21,0,0.1,0.001
20161004,-0.46,0.02,0.17,0.22,-0.26,0.001
20161005,0.58,0.42,0.79,-0.4,0.44,0.001
20161006,-0.06,-0.23,0.37,0.39,0.24,0.001
20161007,-0.38,-0.53,0.16,-0.27,-0.38,0.001
20161010,0.52,0.56,0.01,-0.58,-0.22,0.001
20161011,-1.3,-0.57,0.49,0.31,0.09,0.001
20161012,0.06,-0.21,0.37,0.63,0.15,0.001
20161013,-0.42,-0.74,-0.63,0.32,-0.13,0.001
20161014,0.01,-0.33,0.57,0.06,0.09,0.001
20161017,-0.29,-0.03,0.14,0.06,0.14,0.001
20161018,0.6,-0.14,0.03,-0.13,-0.29,0.001
20161019,0.25,0.12,0.91,-0.1,0.47,0.001
20161020,-0.16,-0.04,-0.11,-0.46,-0.04,0.001
20161021,0.02,-0.17,-0.32,0.32,-0.18,0.001
20161024,0.54,0.07,-0.16,0.52,-0.49,0.001
20161025,-0.46,-0.6,0.22,0,-0.01,0.001
20161026,-0.23,-0.73,0.74,0.08,0.54,0.001
20161027,-0.33,-0.95,0.6,-0.15,-0.04,0.001
20161028,-0.29,-0.1,0.1,0.01,0.33,0.001
20161031,0.02,0.08,0.14,0.51,-0.32,0.001
20161101,-0.68,-0.36,0.17,-0.57,-0.06,0.001
20161102,-0.73,-0.59,0.36,0.81,0.15,0.001
20161103,-0.4,-0.38,1.02,0.11,0.79,0.001
20161104,-0.12,0.84,-0.43,-0.11,-0.07,0.001
20161107,2.23,0.18,-0.15,-0.28,-0.18,0.001
20161108,0.4,-0.11,-0.19,0,0.29,0.001
20161109,1.46,2.06,0.99,-0.85,0.74,0.001
20161110,0.32,1.43,1.8,-0.31,0.37,0.001
20161111,0.18,2.51,-0.04,0.09,-0.35,0.001
20161114,0.21,0.87,1.42,-0.13,0.35,0.001
20161115,0.8,-0.54,0.15,-0.51,0.18,0.001
20161116,-0.12,0.23,-0.56,0.82,-0.17,0.001
